"query_niche_id","source_slice","niche_name","center_cell","k_hop","cells","parcellations_in_niche","parcellation_composition","parcellation_names"
"large_simple_niche_1019171910101420741","C57BL6J-638850.28","large_simple_niche_1019171910101420741","1019171910101420741","8","349","761;921","21;328","Pons, unassigned;Pontine gray"
"large_simple_niche_1019171910101760420","C57BL6J-638850.28","large_simple_niche_1019171910101760420","1019171910101760420","8","315","785","315","Periaqueductal gray"
"large_simple_niche_1019171910102020454","C57BL6J-638850.28","large_simple_niche_1019171910102020454","1019171910102020454","8","338","123","338","Midbrain reticular nucleus"
"large_simple_niche_1019171910102590036","C57BL6J-638850.28","large_simple_niche_1019171910102590036","1019171910102590036","8","399","492;1073","378;21","Subiculum;Presubiculum"
"large_simple_niche_1019171907101550547","C57BL6J-638850.29","large_simple_niche_1019171907101550547","1019171907101550547","8","330","761;921","31;299","Pons, unassigned;Pontine gray"
"large_simple_niche_1019171907101610134","C57BL6J-638850.29","large_simple_niche_1019171907101610134","1019171907101610134","8","340","785","340","Periaqueductal gray"
"large_simple_niche_1019171907101880289","C57BL6J-638850.29","large_simple_niche_1019171907101880289","1019171907101880289","8","327","123","327","Midbrain reticular nucleus"
"large_simple_niche_1018093344101090631-2","C57BL6J-638850.30","large_simple_niche_1018093344101090631-2","1018093344101090631-2","8","325","371","325","Substantia nigra, reticular part"
"large_simple_niche_1018093344101280317-4","C57BL6J-638850.30","large_simple_niche_1018093344101280317-4","1018093344101280317-4","8","331","9;15","48;283","Superior colliculus, motor related;Superior colliculus, motor related"
"large_simple_niche_1018093344101400431-5","C57BL6J-638850.30","large_simple_niche_1018093344101400431-5","1018093344101400431-5","8","333","123;207","42;291","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_1018093344101580701-1","C57BL6J-638850.30","large_simple_niche_1018093344101580701-1","1018093344101580701-1","8","373","37;785","3;370","Superior colliculus, motor related;Periaqueductal gray"
"large_simple_niche_1018093345101050427","C57BL6J-638850.31","large_simple_niche_1018093345101050427","1018093345101050427","8","337","371;914","329;8","Substantia nigra, reticular part;corticospinal tract"
"large_simple_niche_1018093345101660290","C57BL6J-638850.31","large_simple_niche_1018093345101660290","1018093345101660290","8","309","135;785","14;295","cerebral aqueduct;Periaqueductal gray"
"large_simple_niche_1018093345101830471","C57BL6J-638850.31","large_simple_niche_1018093345101830471","1018093345101830471","8","309","123;303","304;5","Midbrain reticular nucleus;Midbrain, unassigned"
"large_simple_niche_1018093345102290685","C57BL6J-638850.31","large_simple_niche_1018093345102290685","1018093345102290685","8","349","492;1270","334;15","Subiculum;Prosubiculum"
"large_simple_niche_12253603363894722901030835080459778855","Zhuang-ABCA-1.096","large_simple_niche_12253603363894722901030835080459778855","12253603363894722901030835080459778855","8","320","123;207","40;280","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_273785322473917498596356814269508784463","Zhuang-ABCA-1.096","large_simple_niche_273785322473917498596356814269508784463","273785322473917498596356814269508784463","8","322","123;208","277;45","Midbrain reticular nucleus;Anterior pretectal nucleus"
"large_simple_niche_146328471697905992096023150096990317510","Zhuang-ABCA-1.097","large_simple_niche_146328471697905992096023150096990317510","146328471697905992096023150096990317510","8","376","123;303","353;23","Midbrain reticular nucleus;Midbrain, unassigned"
"large_simple_niche_20181331946348197694220154892946492658","Zhuang-ABCA-1.097","large_simple_niche_20181331946348197694220154892946492658","20181331946348197694220154892946492658","8","331","123;207","40;291","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_157153644087789546198818426911474018971","Zhuang-ABCA-1.098","large_simple_niche_157153644087789546198818426911474018971","157153644087789546198818426911474018971","8","310","123;207","43;267","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_196967620726170664296237597722398539190","Zhuang-ABCA-1.098","large_simple_niche_196967620726170664296237597722398539190","196967620726170664296237597722398539190","8","324","761;921","44;280","Pons, unassigned;Pontine gray"
"large_simple_niche_303513299532941669618274008971545960845","Zhuang-ABCA-1.098","large_simple_niche_303513299532941669618274008971545960845","303513299532941669618274008971545960845","8","323","123;303","282;41","Midbrain reticular nucleus;Midbrain, unassigned"
"large_simple_niche_101091041787612815616963935606475521174","Zhuang-ABCA-1.099","large_simple_niche_101091041787612815616963935606475521174","101091041787612815616963935606475521174","9","410","761;921","61;349","Pons, unassigned;Pontine gray"
"large_simple_niche_162347547260704678876639497235674543226","Zhuang-ABCA-1.099","large_simple_niche_162347547260704678876639497235674543226","162347547260704678876639497235674543226","8","305","37;785","18;287","Superior colliculus, motor related;Periaqueductal gray"
"large_simple_niche_294485874756298594876345688860082043211","Zhuang-ABCA-1.099","large_simple_niche_294485874756298594876345688860082043211","294485874756298594876345688860082043211","8","322","123;207","39;283","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_62762786836443323203825666837466629773","Zhuang-ABCA-1.099","large_simple_niche_62762786836443323203825666837466629773","62762786836443323203825666837466629773","8","358","123;207","309;49","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_121222663899341689833551289289410197622","Zhuang-ABCA-3.001","large_simple_niche_121222663899341689833551289289410197622","121222663899341689833551289289410197622","8","332","577;785","6;326","Periaqueductal gray;Periaqueductal gray"
"large_simple_niche_192561380822669122715215113594441296688","Zhuang-ABCA-3.001","large_simple_niche_192561380822669122715215113594441296688","192561380822669122715215113594441296688","9","473","420;677","64;409","Retrosplenial area, ventral part;Retrosplenial area, ventral part"
"large_simple_niche_10954756915750795762711761253214285725","Zhuang-ABCA-3.002","large_simple_niche_10954756915750795762711761253214285725","10954756915750795762711761253214285725","8","331","785","331","Periaqueductal gray"
"large_simple_niche_125860591516241773591108740305149463728","Zhuang-ABCA-3.002","large_simple_niche_125860591516241773591108740305149463728","125860591516241773591108740305149463728","8","314","600;677","46;268","Retrosplenial area, dorsal part;Retrosplenial area, ventral part"
"large_simple_niche_135266499521890624564733261904887163307","Zhuang-ABCA-3.002","large_simple_niche_135266499521890624564733261904887163307","135266499521890624564733261904887163307","9","307","622;1159","296;11","Dentate gyrus;Dentate gyrus"
"large_simple_niche_161462779639356307588319562967715734116","Zhuang-ABCA-3.004","large_simple_niche_161462779639356307588319562967715734116","161462779639356307588319562967715734116","9","306","622;1160","262;44","Dentate gyrus;Dentate gyrus"
"large_simple_niche_232284527071616768801635674753397366539","Zhuang-ABCA-3.004","large_simple_niche_232284527071616768801635674753397366539","232284527071616768801635674753397366539","8","360","123;207","321;39","Midbrain reticular nucleus;Red nucleus"
"large_simple_niche_271032203966335200172458143307632591963","Zhuang-ABCA-3.004","large_simple_niche_271032203966335200172458143307632591963","271032203966335200172458143307632591963","8","320","785;966","307;13","Periaqueductal gray;Central lobule"
"large_simple_niche_100572430543595680016848938697419790407","Zhuang-ABCA-3.005","large_simple_niche_100572430543595680016848938697419790407","100572430543595680016848938697419790407","9","458","123;1041","444;14","Midbrain reticular nucleus;Pedunculopontine nucleus"
